input_gibberish,target_correct,shift_type
pwydhowyn5h35id,psychosynthetic,L_UP__R_STAY
yekn.rsg,twinleaf,L_RIGHT__R_DOWN
giwmu5h,bismuth,L_UP__R_STAY
53;34qm,teleran,L_UP__R_RIGHT
l4tqnkwmkd,organismic,L_UP__R_DOWN
cwhre809rwhx6,ventripotency,L_LEFT__R_UP
nln.3qe3e,nonleaded,L_UP__R_DOWN
lfbznlbdndxkx,organogenesis,L_DOWN__R_DOWN
oryvy6,letchy,L_RIGHT__R_UP
snsysnor,abatable,L_RIGHT__R_UP
"[;i,pxogu",plumosity,L_DOWN__R_RIGHT
esnhopr,wanhope,L_RIGHT__R_STAY
aeiyaak,arousal,L_LEFT__R_LEFT
micfophogomdgdf,microphotometer,L_DOWN__R_STAY
xlzaernekrka,coxarthritis,L_LEFT__R_DOWN
yqhw3o,hansel,L_UP__R_UP
w7034q554qd58f3,superattractive,L_UP__R_UP
ozhbx6hd,langsyne,L_DOWN__R_UP
tq;;34u,gallery,L_UP__R_RIGHT
4umglintly,rumblingly,L_UP__R_STAY
sardoam,sardian,L_STAY__R_RIGHT
punvyuslnrdd,punctualness,L_RIGHT__R_STAY
pf;we,ogler,L_LEFT__R_RIGHT
monxofiotiyr,monzodiorite,L_RIGHT__R_STAY
7he3h8qgo3h3ww,undeniableness,L_UP__R_UP
iosopain,iodopsin,L_LEFT__R_STAY
darhweahip,fathership,L_LEFT__R_STAY
gakactiotra,galactopyra,L_STAY__R_LEFT
;dk.ldl;nh,psilosophy,L_RIGHT__R_DOWN
",ppmweu",moonery,L_LEFT__R_RIGHT
"[43o,gog3",preimbibe,L_UP__R_RIGHT
s0r8gyto8o6,sprightlily,L_STAY__R_UP
uncfinkzbly,undrinkably,L_DOWN__R_STAY
4oqew53qe,roadstead,L_UP__R_STAY
ru4nqd3lik3,furnacelike,L_UP__R_STAY
fabfkuius,ganglioid,L_LEFT__R_LEFT
bl.gj;fkbngndxx,boltuprightness,L_DOWN__R_DOWN
ju4nqb,kirman,L_UP__R_LEFT
knrwena.kzarkln,internalization,L_LEFT__R_DOWN
oq748qhh3,laurianne,L_UP__R_UP
xiiggubbbdxx,soothingness,L_DOWN__R_LEFT
narrybuyn,marrubium,L_STAY__R_LEFT
oeruirak,perioral,L_STAY__R_LEFT
ivertude,overtide,L_STAY__R_LEFT
dwarnweqah,featherway,L_LEFT__R_DOWN
lznclofcixm,landlordism,L_DOWN__R_STAY
"[4p543,q5q",protremata,L_UP__R_RIGHT
eutroykkubh,wirepulling,L_RIGHT__R_LEFT
j6yy9d,mythos,L_RIGHT__R_UP
oti5gi4qs,pyothorax,L_UP__R_LEFT
g7eeyqwy80,buddhaship,L_UP__R_UP
w0y348d856,sphericity,L_UP__R_UP
eim34du4ion,dimercurion,L_UP__R_STAY
jnvw.lnfknf,unbelonging,L_LEFT__R_DOWN
;.sny,plant,L_RIGHT__R_DOWN
nltq,hoga,L_UP__R_DOWN
ku1yueb3ww,liquidness,L_UP__R_LEFT
sfbrtykdsn.r,advertisable,L_RIGHT__R_DOWN
qmj4dlwk5h,amurcosity,L_UP__R_DOWN
odbzbb,penang,L_DOWN__R_LEFT
compzxxinb,compassing,L_DOWN__R_STAY
materna..h,maternally,L_STAY__R_DOWN
yytsbidr,turanose,L_RIGHT__R_LEFT
gkant.h,giantly,L_STAY__R_DOWN
y9o90oqhi59h,holoplankton,L_UP__R_UP
ybogukixioguzd,unphilosophize,L_DOWN__R_LEFT
odviysyr,oscitate,L_RIGHT__R_STAY
mkd.rsfknh,misleading,L_RIGHT__R_DOWN
bekubda,belinda,L_STAY__R_LEFT
ve8ota8o,veiltail,L_STAY__R_UP
oieiya,porous,L_LEFT__R_LEFT
wdh2qgqdh34,schwabacher,L_UP__R_STAY
r;qttowj,flaggish,L_UP__R_RIGHT
qjaknr,quaint,L_LEFT__R_DOWN
",pgp",mogo,L_STAY__R_RIGHT
vwnlq.,behowl,L_LEFT__R_DOWN
im3;p1i3m5;u,uneloquently,L_UP__R_RIGHT
gworanweiya,heptamerous,L_LEFT__R_LEFT
"manj,a",manuka,L_LEFT__R_DOWN
c7j8h,cumin,L_STAY__R_UP
cwkcwrkujw,velvetlike,L_LEFT__R_LEFT
adeh9j6x9ja,adenomyxoma,L_STAY__R_UP
ah90o9ce0yao8c,anoplocephalic,L_STAY__R_UP
areaofjrwsfw,straightedge,L_LEFT__R_RIGHT
ahr8d8sw8aj,antifideism,L_LEFT__R_UP
c8xre9oa,victrola,L_LEFT__R_UP
xa;wewe,caperer,L_LEFT__R_DOWN
y609xyh9aw,hypochnose,L_LEFT__R_UP
nl.lvnlsnlkf,holochoanoid,L_RIGHT__R_DOWN
dibt4q5ykq5uib,congratulation,L_UP__R_LEFT
g9aoage,goalage,L_STAY__R_UP
",pmptpmpis;u",monotonously,L_STAY__R_RIGHT
hktsggrdwjr,giraffesque,L_RIGHT__R_DOWN
poidon,poison,L_RIGHT__R_STAY
sirrkwe,dottler,L_LEFT__R_LEFT
vaxxarw,baccate,L_LEFT__R_LEFT
bibcarbibate,noncarbonate,L_STAY__R_LEFT
kwnruxkian,kentuckian,L_LEFT__R_STAY
imp[[ewaaocw,unoppressive,L_LEFT__R_RIGHT
frsteitygukt,dearworthily,L_RIGHT__R_LEFT
zyfuvuc,aurific,L_DOWN__R_LEFT
snidsl,anisal,L_RIGHT__R_STAY
43whipm3n5,reshipment,L_UP__R_STAY
arauav;w,stayable,L_LEFT__R_RIGHT
nsxnsfst,haznadar,L_RIGHT__R_DOWN
54qbwqddue3b5q5uib,transaccidentation,L_UP__R_LEFT
nlmlflcksn,homodoxian,L_RIGHT__R_DOWN
imt4o3f3e,ungrieved,L_UP__R_RIGHT
naeays,maraud,L_LEFT__R_LEFT
nrh;rtnrh;iv,beglerbegluc,L_RIGHT__R_RIGHT
;zf.ljxndxx,parlousness,L_DOWN__R_DOWN
064t9d30yqo8d,pyrgocephalic,L_UP__R_UP
imjimtab;e,unhuntable,L_STAY__R_RIGHT
yrytsfov,tetradic,L_RIGHT__R_RIGHT
kabiredkt,laboredly,L_STAY__R_LEFT
ry44ubt,furring,L_UP__R_LEFT
",e;pdoa;",melodial,L_STAY__R_RIGHT
7h8x7eaaoo6,unicursally,L_LEFT__R_UP
x[zfombmdxx,sparingness,L_DOWN__R_RIGHT
uren7dy,jewbush,L_RIGHT__R_UP
d6hyshjs,syntagma,L_RIGHT__R_UP
kacubess,laciness,L_STAY__R_LEFT
swaj8s89o9f8ar,desmidiologist,L_LEFT__R_UP
hyp34wophiw5idq53e,hypersophisticated,L_UP__R_STAY
dksqjksktlrka.,disquisitorial,L_STAY__R_DOWN
;imh,lung,L_RIGHT__R_RIGHT
"do,i;svti,",simulacrum,L_RIGHT__R_RIGHT
;h4lwkw,pyrosis,L_UP__R_DOWN
d9whfeed,downfeed,L_STAY__R_UP
kck.,ixil,L_RIGHT__R_DOWN
ocwefeazw,overgraze,L_LEFT__R_STAY
qy8rj9hsa6,whitmonday,L_LEFT__R_UP
049dqf88eq3,procaviidae,L_UP__R_UP
qm5qmqme4p,antanandro,L_UP__R_RIGHT
gdnuzgzxuz,hemiataxia,L_DOWN__R_LEFT
greem;amdoc,greenlandic,L_STAY__R_RIGHT
fdxdczcd97x,resedaceous,L_DOWN__R_UP
drmyrmyopid;u,sententiously,L_RIGHT__R_RIGHT
y6034d4858d8a3,hypercriticize,L_UP__R_UP
nonsiapoaal,nondisposal,L_LEFT__R_STAY
otihinsty,originary,L_RIGHT__R_STAY
"a,amora",amanita,L_LEFT__R_RIGHT
[trvpo;,precoil,L_RIGHT__R_RIGHT
"aea,aox",aramaic,L_LEFT__R_RIGHT
x99osyrt,zoolater,L_RIGHT__R_UP
xoaxiwe,clacker,L_LEFT__R_UP
bdh.kcz.,beylical,L_DOWN__R_DOWN
ybravubg,unraving,L_STAY__R_LEFT
phywiolotu3,physiologue,L_UP__R_STAY
xiexumplixarion,circumplication,L_LEFT__R_STAY
ingtsduytsl,infrasutral,L_RIGHT__R_STAY
"amroa[we,prpzom",antispermotoxin,L_LEFT__R_RIGHT
v7sfwr,budget,L_LEFT__R_UP
mpmci;govzgdc,noncultivated,L_DOWN__R_RIGHT
v8hvo7d,cinclus,L_RIGHT__R_UP
"e,brupmu",embryony,L_STAY__R_RIGHT
mono54opwiw,monotropsis,L_UP__R_STAY
vlndkhnrrdnk;,consigneeship,L_RIGHT__R_DOWN
"xjz,dvzxgmdxx",shamefastness,L_DOWN__R_RIGHT
xumpfwmwa;pfoar,cynogenealogist,L_LEFT__R_RIGHT
"mst,hrnlddrndvnsgy",markgenossenschaft,L_RIGHT__R_DOWN
d0o7th6,splurgy,L_RIGHT__R_UP
t3olotiqn,geologian,L_UP__R_STAY
dystbrsvtr,starveacre,L_RIGHT__R_STAY
"jo5j34,pw5",hithermost,L_UP__R_RIGHT
phoyodrndiyibrnrdd,photosensitiveness,L_RIGHT__R_STAY
davidoem,fabiform,L_LEFT__R_STAY
bozmbi;zgdc,biangulated,L_DOWN__R_RIGHT
89c97x,iodous,L_DOWN__R_UP
yesbjubhkt,twankingly,L_RIGHT__R_LEFT
s9hdeo8,sondeli,L_STAY__R_UP
jzfbu,karbi,L_DOWN__R_LEFT
zcdnovibfoxix,adenofibrosis,L_DOWN__R_STAY
2ottowj,wiggish,L_UP__R_RIGHT
v;axlwu,blackey,L_LEFT__R_RIGHT
noncoerixally,nonvortically,L_LEFT__R_STAY
nslms,haoma,L_RIGHT__R_DOWN
zxxzxx8hzgfdxx,assassinatress,L_DOWN__R_UP
89d9jetr8cao,iodometrical,L_STAY__R_UP
xpuoaj,coyish,L_LEFT__R_RIGHT
"o,[we,warpe",impermeator,L_LEFT__R_RIGHT
090eo8ie,popelike,L_STAY__R_UP
incixricw,invictive,L_LEFT__R_STAY
eas89o9xar9e,radiolocator,L_LEFT__R_UP
jelalmkrw,urosomite,L_LEFT__R_DOWN
lf34wdlj4,overscour,L_UP__R_DOWN
anwarnwakl.lfkar,anesthesiologist,L_LEFT__R_DOWN
briw,brow,L_STAY__R_LEFT
fdbivg,regift,L_DOWN__R_STAY
28w3y3qe,wisehead,L_UP__R_UP
xavinwrmakwe,cabinetmaker,L_LEFT__R_STAY
[;amppevoxi;ae,planoorbicular,L_LEFT__R_RIGHT
[rwepveamxjoarw,pterobranchiate,L_LEFT__R_RIGHT
vaj.,baul,L_LEFT__R_DOWN
wdk44nltqw54kq,scirrhogastria,L_UP__R_DOWN
bekeagyernebt,beleaguerment,L_STAY__R_LEFT
9dy89or,ostiole,L_RIGHT__R_UP
bunglind,buntline,L_DOWN__R_STAY
abu,aby,L_STAY__R_RIGHT
ewxejkrmwnr,recruitment,L_LEFT__R_DOWN
xaeskna.,cardinal,L_LEFT__R_DOWN
wioxxsyptos;,quizzatorial,L_RIGHT__R_RIGHT
0he7j9gastr8c,pneumogastric,L_STAY__R_UP
cfdzcv7o,dreadful,L_DOWN__R_UP
4ueekubtw,riddlings,L_UP__R_LEFT
",qee3momt;u",maddeningly,L_UP__R_RIGHT
".rs,",leak,L_RIGHT__R_DOWN
estjyrstyrf,warmhearted,L_RIGHT__R_UP
vsmr.l;stfs.kd,camelopardalis,L_RIGHT__R_DOWN
ginzbd,homage,L_DOWN__R_LEFT
q2g34,awber,L_UP__R_LEFT
fqt4qmdu,vagrancy,L_UP__R_RIGHT
wubdiwket,windowlet,L_STAY__R_LEFT
d8hio8ir,sinklike,L_RIGHT__R_UP
amkdlcaffekne,amidocaffeine,L_STAY__R_DOWN
kunosifg,limpwort,L_DOWN__R_LEFT
dp[[34[;q53,copperplate,L_UP__R_RIGHT
ubvkyfrt,includer,L_RIGHT__R_LEFT
swdwnxw,defence,L_LEFT__R_STAY
nlndenkscent,nondehiscent,L_STAY__R_DOWN
wulphq5id,sulphatic,L_UP__R_STAY
pzfzcoxixm,paradoxism,L_DOWN__R_STAY
"qp,amjpps",womanhood,L_LEFT__R_RIGHT
d3qw3l3ww,ceaseless,L_UP__R_STAY
gou4ou5,bourout,L_UP__R_STAY
wou5ru43,spitfire,L_UP__R_LEFT
y7dy,hush,L_RIGHT__R_UP
gitqmia3,bigamize,L_UP__R_STAY
;43dln53n5,precontent,L_UP__R_DOWN
zdxghdgicizn,aesthetician,L_DOWN__R_STAY
bimgpm,bunton,L_DOWN__R_RIGHT
jdfzgintcixux,keratomycosis,L_DOWN__R_LEFT
0y9s0y8te,phosphite,L_STAY__R_UP
trglrcrf,reflexed,L_RIGHT__R_STAY
dhuyyinh,shutting,L_RIGHT__R_STAY
rozosonr,toxodont,L_LEFT__R_STAY
uakabskujw,islandlike,L_LEFT__R_LEFT
qeakrnh,wraithy,L_LEFT__R_DOWN
nrsfdmsn,beadsman,L_RIGHT__R_DOWN
sphrlinud,aphelinus,L_RIGHT__R_STAY
tirleru,turkery,L_STAY__R_RIGHT
uninglurnyisl,uninfluential,L_RIGHT__R_STAY
oaeafw,oarage,L_LEFT__R_STAY
".q44k,kn",larrikin,L_UP__R_DOWN
